idstatefrom,idaction,idstateto,probability,reward
1,1,1,0.0501000000000015,999.9999999999942
1,1,2,0.1102000000000045,999.9999999999856
1,1,3,0.2159999999999973,1000.000000000024
1,1,4,0.2570999999999937,1000.0000000000362
1,1,5,0.2160999999999973,1000.0000000000242
1,1,6,0.1033000000000042,999.9999999999858
1,1,7,0.0384000000000009,999.999999999999
1,1,8,0.0075000000000001,999.9999999999987
1,1,9,0.001,999.9999999999998
1,1,10,0.0003,1000.0
1,2,1,0.0522000000000015,199.99999999999807
1,2,2,0.1088000000000043,199.99999999999568
1,2,3,0.2061999999999979,200.00000000001012
1,2,4,0.2608999999999931,200.0000000000132
1,2,5,0.2119999999999974,200.00000000001063
1,2,6,0.1129000000000045,199.99999999999557
1,2,7,0.0370000000000008,199.99999999999977
1,2,8,0.0090000000000001,199.99999999999997
1,2,9,0.0009,199.99999999999997
1,2,10,0.0001,200.0
1,3,1,0.0488000000000014,159.99999999999858
1,3,2,0.1094000000000044,159.99999999999733
1,3,3,0.206799999999998,159.9999999999999
1,3,4,0.2653999999999928,160.0
1,3,5,0.2115999999999976,159.9999999999999
1,3,6,0.1147000000000047,159.99999999999716
1,3,7,0.0354000000000007,159.9999999999999
1,3,8,0.0072000000000001,159.99999999999986
1,3,9,0.0007,160.0
1,4,1,0.0467000000000013,119.99999999999932
1,4,2,0.1108000000000045,119.99999999999756
1,4,3,0.2149999999999972,120.00000000000568
1,4,4,0.2543999999999937,120.00000000000644
1,4,5,0.2114999999999975,120.0000000000055
1,4,6,0.1113000000000045,119.99999999999756
1,4,7,0.0396000000000009,119.99999999999989
1,4,8,0.0096000000000002,120.00000000000004
1,4,9,0.0011,119.99999999999989
1,5,1,0.0485000000000014,80.0
1,5,2,0.1017000000000041,79.99999999999913
1,5,3,0.2121999999999977,79.99999999999996
1,5,4,0.2607999999999935,80.0
1,5,5,0.2174999999999972,79.99999999999996
1,5,6,0.1156000000000049,79.99999999999878
1,5,7,0.0347000000000007,80.00000000000014
1,5,8,0.0078000000000001,80.00000000000009
1,5,9,0.001,80.00000000000011
1,5,10,0.0002,80.00000000000011
2,1,1,0.0004,999.0
2,1,2,0.0117000000000001,999.0000000000008
2,1,3,0.0532000000000013,998.9999999999884
2,1,4,0.1156000000000041,998.9999999999776
2,1,5,0.2108999999999965,999.0000000000156
2,1,6,0.2346999999999942,999.0000000000176
2,1,7,0.1933999999999981,999.000000000014
2,1,8,0.1162000000000041,998.9999999999776
2,1,9,0.0485000000000011,998.9999999999898
2,1,10,0.0128000000000001,999.000000000001
2,1,11,0.0022,998.9999999999998
2,1,12,0.0004,999.0
2,2,1,0.0063000000000001,199.0
2,2,2,0.047400000000001,198.99999999999855
2,2,3,0.1127000000000039,198.9999999999956
2,2,4,0.1848999999999988,199.00000000000423
2,2,5,0.2431999999999933,199.000000000008
2,2,6,0.2048999999999969,199.00000000000577
2,2,7,0.1277000000000042,198.99999999999588
2,2,8,0.0517000000000012,198.99999999999807
2,2,9,0.0165000000000002,199.0000000000008
2,2,10,0.0044,199.0000000000001
2,2,11,0.0003,199.0
2,3,1,0.004,159.00000000000009
2,3,2,0.044700000000001,158.99999999999858
2,3,3,0.1034000000000038,158.99999999999793
2,3,4,0.2061999999999974,159.00000000000196
2,3,5,0.2465999999999937,159.00000000000216
2,3,6,0.2060999999999974,159.00000000000196
2,3,7,0.1175000000000045,158.99999999999793
2,3,8,0.0518000000000014,158.9999999999984
2,3,9,0.0161000000000002,159.00000000000034
2,3,10,0.0029,159.00000000000006
2,3,11,0.0007,158.99999999999997
2,4,1,0.0035,119.0
2,4,2,0.0409000000000009,118.99999999999936
2,4,3,0.1117000000000042,118.99999999999756
2,4,4,0.1936999999999985,119.00000000000456
2,4,5,0.2504999999999934,119.00000000000686
2,4,6,0.2150999999999966,119.00000000000578
2,4,7,0.1224000000000047,118.99999999999756
2,4,8,0.0462000000000011,118.9999999999989
2,4,9,0.0124000000000002,119.00000000000024
2,4,10,0.0033,119.0
2,4,11,0.0002,118.99999999999989
2,4,12,0.0001,118.99999999999989
2,5,1,0.0008,79.0000000000001
2,5,2,0.0445000000000011,79.00000000000013
2,5,3,0.1095000000000043,79.00000000000011
2,5,4,0.2003999999999984,79.00000000000203
2,5,5,0.2553999999999935,79.00000000000212
2,5,6,0.2196999999999966,79.00000000000206
2,5,7,0.1141000000000046,79.00000000000011
2,5,8,0.042200000000001,79.00000000000013
2,5,9,0.0108000000000002,79.00000000000016
2,5,10,0.0024,79.00000000000011
2,5,11,0.0001,79.00000000000011
2,5,12,0.0001,79.00000000000011
3,1,1,0.0001,996.0
3,1,2,0.0012,996.0
3,1,3,0.0067,995.9999999999992
3,1,4,0.0242000000000001,996.000000000005
3,1,5,0.0646000000000013,995.9999999999948
3,1,6,0.1261000000000035,995.9999999999932
3,1,7,0.1880999999999971,996.0000000000424
3,1,8,0.2054999999999954,996.000000000047
3,1,9,0.1816999999999978,996.0000000000402
3,1,10,0.1173000000000033,995.9999999999944
3,1,11,0.0578000000000011,995.9999999999956
3,1,12,0.0201000000000001,996.0000000000032
3,1,13,0.0051,995.9999999999998
3,1,14,0.0014,996.0
3,1,15,0.0001,996.0
3,2,1,0.0038,196.0000000000002
3,2,2,0.0222,196.00000000000088
3,2,3,0.058100000000001,195.9999999999995
3,2,4,0.1231000000000034,195.99999999999943
3,2,5,0.1705999999999987,196.00000000000577
3,2,6,0.2117999999999945,196.00000000001245
3,2,7,0.1850999999999973,196.000000000009
3,2,8,0.1248000000000034,195.99999999999943
3,2,9,0.0630000000000012,195.9999999999995
3,2,10,0.0284,196.0000000000009
3,2,11,0.0067,196.00000000000009
3,2,12,0.0019,195.99999999999997
3,2,13,0.0005,196.0
3,3,1,0.0019,155.99999999999997
3,3,2,0.0154000000000001,156.0000000000004
3,3,3,0.052200000000001,155.99999999999858
3,3,4,0.1200000000000037,155.9999999999972
3,3,5,0.183899999999998,156.0000000000055
3,3,6,0.2198999999999945,156.00000000000642
3,3,7,0.1884999999999976,156.00000000000574
3,3,8,0.1298000000000034,155.9999999999978
3,3,9,0.0576000000000012,155.99999999999815
3,3,10,0.0231000000000001,156.0000000000004
3,3,11,0.0063,155.99999999999994
3,3,12,0.0011,155.99999999999997
3,3,13,0.0002,156.0
3,3,14,0.0001,156.0
3,4,1,0.0008,115.99999999999989
3,4,2,0.0112000000000001,116.00000000000004
3,4,3,0.048000000000001,115.99999999999862
3,4,4,0.1115000000000038,115.9999999999972
3,4,5,0.1871999999999984,116.00000000000372
3,4,6,0.233399999999994,116.00000000000593
3,4,7,0.1999999999999972,116.0000000000046
3,4,8,0.1327000000000036,115.99999999999804
3,4,9,0.0557000000000013,115.99999999999818
3,4,10,0.0161000000000001,116.00000000000014
3,4,11,0.0024,115.99999999999991
3,4,12,0.0007,115.99999999999989
3,4,13,0.0003,115.99999999999989
3,5,1,0.0002,76.00000000000011
3,5,2,0.0083000000000001,76.00000000000007
3,5,3,0.045300000000001,75.99999999999982
3,5,4,0.112100000000004,75.99999999999916
3,5,5,0.2019999999999974,76.00000000000222
3,5,6,0.2373999999999941,76.00000000000297
3,5,7,0.2041999999999972,76.00000000000222
3,5,8,0.1230000000000045,75.99999999999909
3,5,9,0.0496000000000012,75.99999999999982
3,5,10,0.0145000000000002,76.00000000000024
3,5,11,0.0032,76.00000000000011
3,5,12,0.0002,76.00000000000011
4,1,2,0.0001999999999999,991.0
4,1,3,0.0010999999999999,990.9999999999998
4,1,4,0.0056999999999999,990.9999999999992
4,1,5,0.0184999999999999,991.0000000000028
4,1,6,0.0465000000000002,990.9999999999932
4,1,7,0.0815000000000011,990.9999999999768
4,1,8,0.1288000000000018,990.999999999977
4,1,9,0.1648999999999978,990.9999999999992
4,1,10,0.1769999999999964,991.0000000000064
4,1,11,0.1435000000000002,990.9999999999844
4,1,12,0.1123000000000019,990.9999999999734
4,1,13,0.0658000000000007,990.9999999999868
4,1,14,0.0338999999999998,991.0000000000013
4,1,15,0.0148999999999999,991.000000000002
4,1,16,0.0038999999999999,991.0000000000005
4,1,17,0.0012999999999999,990.9999999999995
4,1,18,9.99999999999998e-5,991.0
4,1,19,9.99999999999998e-5,991.0
4,2,1,0.0030999999999999,191.00000000000009
4,2,2,0.0130999999999999,191.0000000000001
4,2,3,0.0419,190.99999999999864
4,2,4,0.0740000000000009,190.99999999999704
4,2,5,0.1310000000000016,190.99999999999636
4,2,6,0.1583999999999985,191.0000000000005
4,2,7,0.1737999999999968,191.0000000000018
4,2,8,0.1516999999999993,191.0000000000001
4,2,9,0.1266000000000021,190.9999999999954
4,2,10,0.0705000000000008,190.99999999999704
4,2,11,0.0348999999999999,190.9999999999996
4,2,12,0.0147999999999999,191.0000000000001
4,2,13,0.0043999999999999,191.00000000000009
4,2,14,0.0015999999999999,191.0
4,2,15,9.99999999999998e-5,191.0
4,2,16,9.99999999999998e-5,191.0
4,3,1,0.0016,150.99999999999997
4,3,2,0.0115,151.00000000000006
4,3,3,0.0326,151.0000000000004
4,3,4,0.0774000000000014,150.9999999999991
4,3,5,0.1252000000000029,150.99999999999858
4,3,6,0.1720999999999978,151.00000000000213
4,3,7,0.1849999999999964,151.0000000000022
4,3,8,0.1715999999999979,151.00000000000213
4,3,9,0.1141000000000025,150.99999999999906
4,3,10,0.0627000000000009,150.9999999999991
4,3,11,0.0305999999999999,151.00000000000065
4,3,12,0.0119,151.00000000000006
4,3,13,0.003,151.0
4,3,14,0.0006,151.0
4,3,15,0.0001,151.0
4,4,1,0.0009,110.99999999999986
4,4,2,0.007,110.99999999999984
4,4,3,0.0263,111.0000000000004
4,4,4,0.0661000000000013,110.99999999999828
4,4,5,0.1278000000000032,110.99999999999676
4,4,6,0.1838999999999974,111.00000000000092
4,4,7,0.2084999999999949,111.00000000000128
4,4,8,0.1753999999999983,111.00000000000068
4,4,9,0.1163000000000031,110.99999999999632
4,4,10,0.057600000000001,110.99999999999854
4,4,11,0.0221,111.00000000000033
4,4,12,0.0067,110.99999999999984
4,4,13,0.0012,110.99999999999984
4,4,14,0.0002,110.99999999999989
4,5,1,0.0002,71.00000000000011
4,5,2,0.003,71.00000000000014
4,5,3,0.0194000000000001,71.00000000000034
4,5,4,0.0617000000000015,70.99999999999936
4,5,5,0.1316000000000034,70.9999999999995
4,5,6,0.2047999999999962,71.00000000000185
4,5,7,0.2150999999999952,71.00000000000186
4,5,8,0.1810999999999986,71.00000000000169
4,5,9,0.1125000000000035,70.99999999999916
4,5,10,0.050600000000001,70.99999999999955
4,5,11,0.0160000000000001,71.0000000000003
4,5,12,0.0034,71.00000000000014
4,5,13,0.0006,71.00000000000011
5,1,2,9.999999999999892e-5,984.0
5,1,3,0.0003999999999999,984.0
5,1,4,0.0020999999999999,984.0000000000002
5,1,5,0.0079999999999999,983.9999999999987
5,1,6,0.0162999999999997,984.000000000002
5,1,7,0.0347999999999996,983.9999999999995
5,1,8,0.0571,983.9999999999882
5,1,9,0.0881000000000005,983.9999999999776
5,1,10,0.1250000000000012,983.9999999999752
5,1,11,0.1391999999999995,983.9999999999876
5,1,12,0.142799999999999,983.99999999999
5,1,13,0.1344,983.999999999984
5,1,14,0.1016000000000008,983.9999999999744
5,1,15,0.0656000000000001,983.9999999999862
5,1,16,0.0435999999999997,983.9999999999924
5,1,17,0.0238999999999996,984.000000000004
5,1,18,0.0095999999999998,983.9999999999998
5,1,19,0.0045999999999999,984.0000000000005
5,1,20,0.0021999999999999,984.0000000000005
5,1,21,0.0003999999999999,984.0
5,1,22,0.0001999999999999,984.0
5,2,1,0.0026999999999999,184.00000000000003
5,2,2,0.0113999999999998,184.00000000000017
5,2,3,0.0349999999999996,184.00000000000023
5,2,4,0.0589000000000001,183.99999999999812
5,2,5,0.0943000000000007,183.9999999999977
5,2,6,0.1226000000000013,183.9999999999966
5,2,7,0.1431999999999992,183.9999999999997
5,2,8,0.1522999999999981,184.00000000000117
5,2,9,0.1327000000000004,183.99999999999804
5,2,10,0.1030000000000009,183.99999999999724
5,2,11,0.0706000000000003,183.99999999999812
5,2,12,0.0378999999999997,183.99999999999991
5,2,13,0.0194999999999997,184.00000000000065
5,2,14,0.0100999999999998,184.00000000000003
5,2,15,0.0043999999999999,184.0
5,2,16,0.0007999999999999,184.0
5,2,17,0.0004999999999999,184.0
5,2,18,9.999999999999906e-5,184.0
5,3,1,0.0022999999999999,143.99999999999994
5,3,2,0.0081999999999999,143.99999999999994
5,3,3,0.0233999999999998,144.00000000000048
5,3,4,0.0522000000000002,143.99999999999855
5,3,5,0.0909000000000012,143.99999999999787
5,3,6,0.1335000000000011,143.99999999999957
5,3,7,0.1635999999999976,143.99999999999991
5,3,8,0.1640999999999975,143.99999999999991
5,3,9,0.1376000000000006,143.99999999999972
5,3,10,0.1028000000000015,143.99999999999787
5,3,11,0.0638000000000005,143.99999999999835
5,3,12,0.0369999999999998,143.99999999999977
5,3,13,0.0142999999999999,144.0000000000003
5,3,14,0.0040999999999999,144.00000000000006
5,3,15,0.0017999999999999,143.99999999999997
5,3,16,0.0003999999999999,144.0
5,4,1,0.0006,103.99999999999989
5,4,2,0.0051,103.9999999999999
5,4,3,0.0144,104.00000000000004
5,4,4,0.0427000000000003,103.99999999999928
5,4,5,0.0865000000000016,103.99999999999842
5,4,6,0.1376000000000015,103.99999999999902
5,4,7,0.1756999999999974,104.00000000000178
5,4,8,0.1868999999999962,104.00000000000252
5,4,9,0.1531999999999998,103.99999999999956
5,4,10,0.1094000000000024,103.99999999999758
5,4,11,0.0532000000000006,103.99999999999888
5,4,12,0.0236999999999999,104.00000000000026
5,4,13,0.0082,103.9999999999998
5,4,14,0.0022,103.9999999999999
5,4,15,0.0004,103.99999999999989
5,4,16,0.0002,103.99999999999989
5,5,1,0.0003,64.00000000000011
5,5,2,0.0008,64.0000000000001
5,5,3,0.0097,64.00000000000017
5,5,4,0.0344000000000002,64.00000000000007
5,5,5,0.079100000000002,64.00000000000001
5,5,6,0.1412000000000021,64.00000000000007
